category_name;englishName;populate;generalizations;mutexExceptions;instanceType;seedInstances
street;streets;TRUE;location;;all;" ""Forbes Avenue"" ""First Street"" ""Pennsylvania Avenue"" ""Hollywood Blvd"" ""Canal Street"" ""Wacker Drive"" ""M Street"" ""Western Avenue"" ""Sixteenth Street"" ""Meridian Road"""
zipCode;ZIP codes;TRUE;location;;all;" ""60611"" ""30324"" ""90046"" ""55057"" ""92130"" ""32801"" ""10650"" ""12401"" ""30309"" ""21701"""
publication;publications;TRUE;mediaCompany;;proper;" ""Readers Digest"" ""National Geographic"" ""Rolling Stone"" ""People"" ""Time"" ""New York Times"" ""Pittsburgh Post-Gazette"" ""New York Post"" ""Chicago Tribune"" ""Houston Chronicle"" ""Huffington Post"" ""TechCruch"" ""Mashable"" ""Gizmodo"" ""Engadget"""
radioStation;radio stations;TRUE;mediaCompany;;proper;" ""WBUR"" ""WGBH"" ""WGN"" ""WBEZ"" ""93.9 Lite FM"" ""106.9 The Point"" ""KSBJ"" ""WFYI"" ""WIBC"" ""WORD-FM"" ""KDKA"" ""WDVE"" ""KEXP"" ""KUBE-FM"" ""KMPS-FM"""
recordLabel;record labels;TRUE;mediaCompany;;proper;" ""Atlantic Records"" ""Capitol Records"" ""Sony Epic"" ""DGC"" ""Geffen"" ""EMI"" ""Sub Pop"" ""Apple Records"" ""Asthmatic Kitty"" ""Sire Records"" ""Secretly Canadian"" ""Interscope"" ""Jive Records"" ""Elektra"" ""Tooth and Nail"""
televisionStation;television stations;TRUE;mediaCompany;;proper;" ""WHDH"" ""WGBH"" ""WBZ-TV"" ""WLS"" ""WFLD-TV"" ""WGN-TV"" ""WNET"" ""WWOR"" ""KONG"" ""KCPQ"" ""KVOS"" ""KDKA"" ""WXPI"" ""WTHR"" ""WISH TV"" ""KTRK"""
company;companies;TRUE;organization;product restaurant hotel;proper;" ""AFLAC"" ""Alcoa"" ""Amazon"" ""AMD"" ""Apple"" ""Berkshire Hathaway"" ""Blockbuster"" ""Focus Media Holding"" ""General Electric"" ""General Motors"" ""Hilton Hotels"" ""Intel"" ""Intuit"" ""Micron"" ""Microsoft"""
professionalOrganization;professional organizations;TRUE;organization;;proper;" ""ACM"" ""IEEE"" ""AAAI"" ""AAAS"" ""NAS"" ""OHBM"" ""AMA"" ""SIAM"" ""Association for Computing Machinery"" ""Institute of Electrical and Electronics Engineers"" ""American Academy of Arts and Sciences"" ""Society for Industrial and Applied Mathematics"""
sportsLeague;sports leagues;TRUE;organization;;proper;" ""NFL"" ""National Football League"" ""AFL"" ""American Football League"" ""Big East"" ""NBA"" ""National Basketball Association"" ""PGA"" ""NHL"" ""ACC"" ""Minor League Baseball"" ""Eurocup"" ""Canadian Football League"" ""WNBA"" ""NASCAR"""
sportsTeam;sports teams;TRUE;organization;animal university stateOrProvince;proper;" ""Boston Celtics"" ""Bulls"" ""Chicago White Sox"" ""Cleveland Cavaliers"" ""Cubs"" ""Derby County"" ""Los Angeles Lakers"" ""Manchester United"" ""New York Giants"" ""Pittsburgh Penguins"" ""Pittsburgh Steelers"" ""San Antonio Spurs"" ""Seattle Seahawks"" ""Tampa Bay Lightning"" ""Yankees"""
university;universities;TRUE;organization;sportsTeam;proper;" ""California Institute of Technology"" ""Carnegie Mellon University"" ""CMU"" ""Colorado State University"" ""Federal University of Sao Carlos"" ""Harvard University"" ""Imperial College London"" ""Massachusetts Institute of Technology"" ""Princeton University"" ""Stanford University"" ""University of Oxford"" ""University of Paris Sorbonne"" ""University of Pittsburgh"" ""University of Tokyo"" ""USC"""
actor;actors;TRUE;person;male female celebrity athlete;proper;" ""Catherine Zeta-Jones"" ""Clint Eastwood"" ""Danny Kaye"" ""Halle Berry"" ""Jack Nicholson"" ""Jessica Alba"" ""Jude Law"" ""Julie Andrews"" ""Keanu Reeves"" ""Matt Damon"" ""Natalie Portman"" ""Nicolas Cage"" ""Nicole Kidman"" ""Sean Connery"" ""Tom Hanks"""
athlete;athletes;TRUE;person;male female celebrity actor;proper;" ""Alex Rodriguez"" ""Andre Agassi"" ""Brett Favre"" ""Carlos Zambrano"" ""David Beckham"" ""Deron Williams"" ""Dwayne Wade"" ""Eli Manning"" ""Evander Holyfield"" ""Jason Giambi"" ""Kerry Wood"" ""Kevin Garnett"" ""Kurt Warner"" ""LeBron James"" ""Lennox Lewis"""
